case_id,source,preconditions,steps,expected,status,environment,evidence,actual_result,remaining_or_blocker
BOOT-003,FEATURE_CASES.md:84,Debug 可达,在“测试→App 工具”连续点重播两次,旧序列被取消；只保留一套启动层；最终正常结束且不发送面板数据,未测试,冻结产品；iPhone SE第3代 / iOS26.5模拟器 / zh-Hans；修订定位harness,FEATURE_CASES.md:84（仅用例定义，无运行证据）; evidence/se.log:472,无完整运行证据；静态设计不计通过；Debug CLEAR确认弹窗取消成功且本地启动动画重播结束返回Debug通过；未发送维护命令，未测连续双重播/真实清除,尚未逐步执行全部步骤/预期
CTL-001,FEATURE_CASES.md:90,未连接，实时同步关闭,在预览点按和连续划过有效 LED；划过空白区域,画笔值写入触达 LED；单笔重复经过不反复切换；空白区域不改帧；页面不随手指滚动,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,FEATURE_CASES.md:90（仅用例定义，无运行证据）; evidence/ios27.log:285#AcceptanceDefaultsTests.testRealtimeOutputIsOffForANewEditor; evidence/models-retry.log:121#testPaintWritesExplicitBrushValueAndRepeatedStrokeIsNoOp,无完整运行证据；静态设计不计通过；另有新编辑器默认livePreview关闭要求回归失败（iOS27，冻结产品加后续harness）；不等于本例手动关闭后的行为失败；离线模型子项testPaintWritesExplicitBrushValueAndRepeatedStrokeIsNoOp通过；不证明触摸/触感/UI/真实循环与面板时序,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
CTL-002,FEATURE_CASES.md:91,草稿有亮灯,切换“画亮/画灭”；分别在同一 LED 点按和回划,画亮只置 1，画灭只置 0；同值重复操作无变化、无多余触感,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,FEATURE_CASES.md:91（仅用例定义，无运行证据）; evidence/models-retry.log:121#testPaintWritesExplicitBrushValueAndRepeatedStrokeIsNoOp,无完整运行证据；静态设计不计通过；离线模型子项testPaintWritesExplicitBrushValueAndRepeatedStrokeIsNoOp通过；不证明触摸/触感/UI/真实循环与面板时序,尚未逐步执行全部步骤/预期
CTL-003,FEATURE_CASES.md:92,两眼内容不同,打开“双眼同步”；再编辑左右眼对应 LED,开启瞬间以左眼同步右眼；此后任一眼的有效映射成对写入；非眼部只改自身,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,FEATURE_CASES.md:92（仅用例定义，无运行证据）; evidence/models-retry.log:127#testSyncedEyePaintMirrorsTheBrushValueInBothDirections,无完整运行证据；静态设计不计通过；离线模型子项testSyncedEyePaintMirrorsTheBrushValueInBothDirections通过；不证明触摸/触感/UI/真实循环与面板时序,尚未逐步执行全部步骤/预期
CTL-004,FEATURE_CASES.md:93,部件库有效，双眼同步开启,分别选择左右眼部件,另一眼自动选择镜像部件；预览与选择态一致,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,FEATURE_CASES.md:93（仅用例定义，无运行证据）; evidence/models-retry.log:117#testEyePartSelectionStaysMirroredWhileSyncIsEnabled,无完整运行证据；静态设计不计通过；离线模型子项testEyePartSelectionStaysMirroredWhileSyncIsEnabled通过；不证明触摸/触感/UI/真实循环与面板时序,尚未逐步执行全部步骤/预期
CTL-005,FEATURE_CASES.md:94,部件库有效,逐项选择左眼、右眼、嘴、脸颊；选择 0 号空部件,每一项预览来自实际部件；被选项具可见边框/选中语义；空部件可达,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,FEATURE_CASES.md:94（仅用例定义，无运行证据）; evidence/models-retry.log:123#testSelectingEveryPartGroupRecomposesTheDisplayedFrame,无完整运行证据；静态设计不计通过；离线模型子项testSelectingEveryPartGroupRecomposesTheDisplayedFrame通过；不证明触摸/触感/UI/真实循环与面板时序,尚未逐步执行全部步骤/预期
CTL-006,FEATURE_CASES.md:95,任意草稿,依次执行“随机组合/反转/清空”,随机组合产生有效部件组合；反转所有 370 bit；清空后 0 灯；状态说明变为本地未发送,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,evidence/frozen-baseline.log:2214; evidence/models-retry.log:115#testClearInvertAndRevertRestoreTheEditingBaseline,无完整运行证据；静态设计不计通过；冻结UI组合测试失败于旧Control命令全亮可达断言，后续表情库路径未执行；不能证明本用例失败或通过；旧UI全亮查找失败归测试定位/陈旧断言，不能证实真实表情库不可达；离线模型子项testClearInvertAndRevertRestoreTheEditingBaseline通过；不证明触摸/触感/UI/真实循环与面板时序,尚未逐步执行全部步骤/预期
CTL-007,FEATURE_CASES.md:96,从已保存表情或新草稿开始,做多步编辑；点“回退到编辑起点”,按钮在有差异时启用；恢复最近加载/成功保存时的帧、部件来源和选项,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,FEATURE_CASES.md:96（仅用例定义，无运行证据）; evidence/models-retry.log:115#testClearInvertAndRevertRestoreTheEditingBaseline; evidence/models-retry.log:119#testLoadingSavedPartsFaceCreatesARevertBaselineAndNewFaceClearsIdentity,无完整运行证据；静态设计不计通过；离线模型子项testClearInvertAndRevertRestoreTheEditingBaseline通过；不证明触摸/触感/UI/真实循环与面板时序；离线模型子项testLoadingSavedPartsFaceCreatesARevertBaselineAndNewFaceClearsIdentity通过；不证明触摸/触感/UI/真实循环与面板时序,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
CTL-008,FEATURE_CASES.md:97,任意草稿,展开“逐灯编辑”；Stepper 到首/末 LED；观察行列；切换当前灯,范围为 1…370，无越界；行列与板型一致；按钮文案和灯状态同步,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:97（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
CTL-009,FEATURE_CASES.md:98,控制页,双指在预览中心/边缘缩放到 3×，回缩低于 1×；缩放中单指移动,锚点保持；不露空边；最大 3×；低于 1×松手回弹；双指期间不误画灯；工具区仍可滚动,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:98（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
CTL-010,FEATURE_CASES.md:99,未连接,查看“发送表情”与保存位置,发送禁用；仍可编辑和保存到本机；保存到当前面板禁用并有说明,失败,冻结产品；iPhone SE第3代 / iOS26.5模拟器 / zh-Hans；修订定位harness；另iPhone17Pro/iOS27,FEATURE_CASES.md:99（仅用例定义，无运行证据）; evidence/ios27.log:285#AcceptanceDefaultsTests.testRealtimeOutputIsOffForANewEditor; evidence/se.log:789; evidence/se.log:540; evidence/ios27.log:750,无完整运行证据；静态设计不计通过；另有新编辑器默认livePreview关闭要求回归失败（iOS27，冻结产品加后续harness）；不等于本例手动关闭后的行为失败；保存定位改为label BEGINSWITH保存后，按钮存在但isEnabled=false；离线本机保存要求失败；五标签离线切换、发送按钮禁用、后台返回控制选择通过；不证明20次切换/草稿/全生命周期完整用例,已执行步骤违反该原用例明确预期，判失败；其余步骤仍未测试；以冻结版入口和当前证据复验
CTL-011,FEATURE_CASES.md:100,已连接，实时同步关闭,编辑后观察面板；点“发送表情”,编辑前面板不变；点发送后显示草稿；按钮显示进行态；页脚变“最近发送成功”,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
CTL-012,FEATURE_CASES.md:101,已连接,开实时同步；快速绘制/选部件 30 次；立即切到文字发送,面板跟随最新控制草稿；队列不洪泛；文字会话接管后迟到控制响应不得覆盖文字,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）; evidence/ios27.log:285#AcceptanceDefaultsTests.testRealtimeOutputIsOffForANewEditor,无完整运行证据；静态设计不计通过；另有新编辑器默认livePreview关闭要求回归失败（iOS27，冻结产品加后续harness）；不等于本例手动关闭后的行为失败,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
CTL-013,FEATURE_CASES.md:102,已连接并发送成功,断开或切换到另一面板,“最近发送成功”不沿用到新连接；草稿仍保留,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）; evidence/models-retry.log:125#testSentStateIsBoundToTheConnectionGeneration,无完整运行证据；静态设计不计通过；离线模型子项testSentStateIsBoundToTheConnectionGeneration通过；不证明触摸/触感/UI/真实循环与面板时序,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
CTL-014,FEATURE_CASES.md:103,已编辑草稿,后台/强制终止并重启,帧、名称、部件来源及选择恢复；错误时显示“无法恢复草稿/尚未保存”且不崩溃,未测试,冻结16:35版；iPhone 17 Pro / iOS26.5 Simulator / zh-Hans；模型测试无实板,evidence/frozen-baseline.log:1730#testMissingDraftReturnsNilAndAtomicWriteCanBeReplaced,部分自动化证据：DraftStorage临时目录原子写替换通过；不证明实际控制/文字模型恢复、文件损坏与UI写失败；testMissingDraftReturnsNilAndAtomicWriteCanBeReplaced=通过,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
CTL-015,FEATURE_CASES.md:104,保存 sheet,空名、全空格、有效名各一次；切换本机/当前面板；编辑现有项时切换“另存为新表情”,空名禁用；有效名保存；替换与另存逻辑符合目标库和连接代次；成功提示可进入表情库,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:104（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
CTL-016,FEATURE_CASES.md:105,模拟部件资源不可用,打开控制,显示“部件库不可用”和原因；直接 LED 编辑、草稿保护行为不崩溃,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:105（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-001,FEATURE_CASES.md:111,控制页,点右上“表情库”；关闭 sheet,sheet 内标题为表情库；关闭回控制且草稿不丢,未测试,冻结产品；iPhone SE第3代 / iOS26.5模拟器 / zh-Hans；修订定位harness,evidence/frozen-baseline.log:2214; evidence/se.log:758,无完整运行证据；静态设计不计通过；冻结UI组合测试失败于旧Control命令全亮可达断言，后续表情库路径未执行；不能证明本用例失败或通过；旧UI全亮查找失败归测试定位/陈旧断言，不能证实真实表情库不可达；实际经附件面板控制→管理表情进入表情库；旧全亮组合测试定位失败不再是库入口不可达证据；关闭返回/在线分支/iOS17未全测,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-002,FEATURE_CASES.md:112,DATA-FACE,切换“本机/当前面板”,两库独立；默认与我的表情分组；切库清空选择模式；未连接面板时显示明确空状态,失败,冻结产品；iPhone SE第3代 / iOS26.5模拟器 / zh-Hans；修订定位harness,FEATURE_CASES.md:112（仅用例定义，无运行证据）; evidence/se.log:758,无完整运行证据；静态设计不计通过；实际经面板控制→管理表情到达表情库标题，缺少本机位置；离线本机库入口要求失败,已执行步骤违反该原用例明确预期，判失败；其余步骤仍未测试；以冻结版入口和当前证据复验
FACE-003,FEATURE_CASES.md:113,DATA-FACE,搜索大小写、局部名称、无结果；清空搜索,只按名称本地标准匹配；无结果提示不混同空库；清空恢复完整列表,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:113（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-004,FEATURE_CASES.md:114,本机库首次启动/已有持久数据各一次,打开本机库,首次合并内置默认表情；已有用户表情保留；加载失败回退默认并显示错误,未测试,冻结16:35版；iPhone 17 Pro / iOS26.5 Simulator / zh-Hans；模型测试无实板,evidence/frozen-baseline.log:1653#testSavedFaceSurvivesNewStoreAndModelInstances,部分自动化证据：真实LocalFaceStore重开恢复用户项通过；首次默认合并和加载失败UI未覆盖；testSavedFaceSurvivesNewStoreAndModelInstances=通过,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-005,FEATURE_CASES.md:115,当前面板已连接,切到面板库、下拉刷新；制造读取失败再重试,显示加载态；成功显示当前代次库；失败显示重试入口/错误且不冒充空库,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-006,FEATURE_CASES.md:116,任一有效表情,打开详情,显示预览、名称、类型、位置和可用动作；预览高度受限；无隐式应用,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:116（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-007,FEATURE_CASES.md:117,已连接；本机和面板表情各一,点详情“应用到面板”,本机项发送其帧；面板项按当前排序索引应用；输出源切手动；成功不自动进入编辑,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-008,FEATURE_CASES.md:118,未连接,打开详情/长按菜单,应用与本机→面板复制禁用；本机编辑、重命名、导出等离线操作仍可用,失败,冻结产品；iPhone SE第3代 / iOS26.5模拟器 / zh-Hans；修订定位harness,FEATURE_CASES.md:118（仅用例定义，无运行证据）; evidence/se.log:758,无完整运行证据；静态设计不计通过；实际经面板控制→管理表情到达表情库标题，缺少本机位置；离线本机库入口要求失败,已执行步骤违反该原用例明确预期，判失败；其余步骤仍未测试；以冻结版入口和当前证据复验
FACE-009,FEATURE_CASES.md:119,默认/锁定表情,查看滑动、长按、详情操作；点“编辑副本”,不出现重命名/删除；编辑以副本方式进入控制，原 ID 不作为覆盖目标,未测试,冻结16:35版；iPhone 17 Pro / iOS26.5 Simulator / zh-Hans；模型测试无实板,evidence/frozen-baseline.log:1651#testProtectedFaceCannotBeRenamedOrDeletedButCanBeCopied,部分自动化证据：锁定本机项改名/删除拒绝且副本可编辑通过；菜单隐藏与编辑路由未覆盖；testProtectedFaceCannotBeRenamedOrDeletedButCanBeCopied=通过,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-010,FEATURE_CASES.md:120,可编辑本机表情,点编辑；修改；保存覆盖；再另存为新表情,sheet 关闭并回控制；标题显示编辑对象；覆盖保留 ID，另存创建新 ID,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,FEATURE_CASES.md:120（仅用例定义，无运行证据）; evidence/models-retry.log:119#testLoadingSavedPartsFaceCreatesARevertBaselineAndNewFaceClearsIdentity,无完整运行证据；静态设计不计通过；离线模型子项testLoadingSavedPartsFaceCreatesARevertBaselineAndNewFaceClearsIdentity通过；不证明触摸/触感/UI/真实循环与面板时序,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-011,FEATURE_CASES.md:121,可编辑面板表情，连接 A,进入编辑；切换至连接 B；保存且未选另存,不用 A 的 ID 覆盖 B；在 B 新建或要求重新选择；有清晰结果,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
FACE-012,FEATURE_CASES.md:122,可编辑项,从列表滑动与详情分别重命名；输入前后空格、空名、>64 字符,去空格、最长 64 字符；本机持久化后更新；面板错误可见；受保护项拒绝,未测试,冻结16:35版；iPhone 17 Pro / iOS26.5 Simulator / zh-Hans；模型测试无实板,evidence/frozen-baseline.log:1636#testDuplicateNamesRemainIndependentWhenOneIsEditedAndReloaded,部分自动化证据：同名不同ID持久化编辑隔离通过；字数、空名、面板错误与UI入口未覆盖；testDuplicateNamesRemainIndependentWhenOneIsEditedAndReloaded=通过,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
